station,site,date,lat,lon,ellipsoid_height_m,orthometric_height_m,Geoid  separation,Reference/ mark,orthometric_height_of_mark_m
KPC_L,KPC_L,28-05-2022,79.913877148,-24.093571000,408.2699,376.5345,31.7354,Snow surface/ arp,377.10
KPC_Lv3,KPC_L,28-05-2022,79.910803136,-24.080935296,398.012,366.2866,31.7254,Snow surface/ center of GNSS,366.98
KPC_U,KPC_U,28-05-2022,79.834856031,-25.162713974,900.6311,868.3405,32.2906,Snow surface/ center of GNSS,869.91
KPC_Uv3,KPC_U,28-05-2022,79.834996718,-25.162522802,900.1081,867.8173,32.2908,Snow surface/ center of GNSS,869.44
NAE,NAE,26-05-2022,75.002402850,-29.980575158,2669.132,2623.738,45.3943,Snow surface/ center of GNSS,2623.65
NASA-E,NAE,26-05-2022,75.002475890,-29.980464876,2669.506,2624.111,45.3942,Snow surface/ center of GNSS,2624.31
TUN,TUN,27-05-2022,78.019103596,-33.962960796,2112.792,2074.555,38.2369,Snow surface/ center of GNSS,2074.58
Tunu-N,TUN,27-05-2022,78.019133106,-33.962502498,2112.721,2074.484,38.2371,Snow surface/ center on mast,2074.42
CEN2,CEN,17-06-2022,77.181986426,-61.115590053,1906.626,1882.961,23.6646,arp/lower mount,1882.73
CP1,CP1,15-06-2022,69.872094716,-47.038734410,1980.027,1944.002,36.0252,arp/lower mount,1943.77
DY2,DY2,16-06-2022,66.482332773,-46.293279722,2153.16,2109.769,43.3911,arp/lower mount,2109.53
NSE,NSE,23-06-2022,66.477665842,-42.493349459,2426.243,2377.895,48.3475,arp/lower mount,2377.66
NEM,NEM,20-06-2022,77.441409426,-51.083752626,2480.459,2449.69,30.7686,arp/lower mount,2449.45
SDL,SDL,23-06-2022,66.000135029,-44.502718420,2507.5,2460.565,46.9355,Snow surface/ arp,2462.28
KAN_U,KAN_U,08-06-2023,67.00075486,-47.03405995,1875.207,1833.850,41.3570,Mast ref,1833.52
NSE,NSE,09-06-2023,66.47761771,-42.49319408,2426.458,2378.110,48.3479,Mast ref,2377.87
SDM,SDM,11-06-2023,63.14893778,-44.81739839,2930.348,2879.465,50.8826,Mast ref,2879.23
DY2,DY2,14-06-2023,66.4824559,-46.29389802,2153.441,2110.050,43.3908,Mast ref,2108.15
SDL,SDL,15-06-2023,66.00019341,-44.50261255,2508.113,2461.177,46.9361,Mast ref,2460.94
NAU,NAU,18-06-2023,73.84059587,-49.53376492,2366.108,2332.607,33.5011,Mast ref,2332.32
CP1,CP1,19-06-2023,69.87170136,-47.04116213,1978.993,1942.973,36.0198,Mast ref,1941.01
TUN,TUN,20-06-2023,78.01923597,-33.96195695,2113.284,2075.047,38.2373,Mast ref,2074.78
EGP,EGP,21-06-2023,75.62716265,-35.96938987,2704.764,2663.150,41.6135,Mast ref,2662.77
NAE,NAE,23-06-2023,75.00250128,-29.97973306,2670.256,2624.861,45.3953,Mast ref,2624.57
CEN2,CEN,29-06-2023,77.18197041,-61.11575029,1906.784,1883.119,23.6650,Mast ref,1881.22
HUM,HUM,30-06-2023,78.52893243,-56.84473141,1987.223,1959.939,27.2844,Mast ref,1959.70
NEM,NEM,01-07-2023,77.44141824,-51.0839664,2480.939,2450.170,30.7691,Mast ref,2449.52