station_id,project,number_of_booms,location_type,date_installation,latitude_installation,longitude_installation,altitude_installation,date_last_valid,latitude_last_valid,longitude_last_valid,altitude_last_valid
CEN1,GC-Net,1,ice sheet,2017-07-24,77.181856,-61.115329,1892.26,2021-08-12,77.181784,-61.11584,1887.24
CEN2,GC-Net,2,ice sheet,2021-08-12,77.181907,-61.115458,1891.94,2025-06-11,77.181936,-61.115956,1889.01
CP1,GC-Net,2,ice sheet,2021-06-17,69.872455,-47.036378,1939.63,2025-06-11,69.870962,-47.04594,1950.03
DY2,GC-Net,2,ice sheet,2022-06-16,66.482305,-46.29331,2122.01,2025-06-11,66.482647,-46.295172,2126.75
EGP,GC-Net,1,ice sheet,2016-05-01,75.624505,-35.975228,2663.0,2025-06-11,75.628024,-35.967141,2667.78
FRE,Glaciobasis,1,local glacier,2021-07-27,74.387916,-20.832837,685.5,2025-06-11,74.388102,-20.833319,684.58
HUM,GC-Net,2,ice sheet,2022-06-19,78.528819,-56.844173,1968.2,2025-06-11,78.529154,-56.845701,1966.84
JAR,GC-Net,1,ice sheet,2021-05-26,69.492473,-49.718344,906.91,2023-01-26,69.492098,-49.720788,906.98
JAR_O,GC-Net,1,ice sheet,2022-08-03,69.494812,-49.669974,925.65,2025-06-11,69.493957,-49.67467,929.43
KAN_B,PROMICE,1,tundra,2011-04-13,67.13,-50.18,350.0,2025-06-11,67.13,-50.18,350.0
KAN_L,PROMICE,1,ice sheet,2008-09-01,67.097322,-49.931817,678.73,2025-05-06,67.093079,-49.973625,623.48
KAN_Lv3,PROMICE,1,ice sheet,2023-08-22,67.105075,-49.930414,685.5,2025-06-11,67.104666,-49.934712,685.83
KAN_M,PROMICE,1,ice sheet,2008-09-02,67.065724,-48.816434,1271.5,2025-06-11,67.068466,-48.856028,1264.49
KAN_Tv3,PROMICE,1,ice sheet,2024-05-18,67.150853,-50.035077,502.05,2025-06-11,67.150953,-50.035207,503.4
KAN_U,PROMICE,1,ice sheet,2009-04-04,67.000159,-47.016845,1845.17,2025-06-11,67.000813,-47.036613,1850.08
KPC_L,PROMICE,1,ice sheet,2008-07-17,79.911001,-24.085609,376.93,2025-06-11,79.91077,-24.07989,358.98
KPC_Lv3,PROMICE,1,ice sheet,2022-05-28,79.913872,-24.093617,377.94,2023-01-08,79.913875,-24.093307,372.98
KPC_U,PROMICE,1,ice sheet,2008-07-17,79.833905,-25.170461,867.13,2025-06-11,79.83524,-25.160694,867.97
KPC_Uv3,PROMICE,1,ice sheet,2022-05-28,79.834868,-25.162743,869.96,2023-01-20,79.834921,-25.162375,865.43
LYN_L,GlacioBasis,1,local glacier,2021-09-01,69.318918,-53.543892,536.92,2025-06-11,69.318946,-53.543598,539.13
LYN_T,GlacioBasis,1,local glacier,2021-09-01,69.304271,-53.590203,940.13,2024-04-19,69.304269,-53.590195,943.75
MIT,PROMICE,1,local glacier,2009-05-04,65.692565,-37.825559,465.42,2025-06-11,65.691878,-37.830283,425.94
NAE,GC-Net,2,ice sheet,2022-05-28,75.002423,-29.98058,2628.85,2025-06-11,75.002699,-29.978109,2627.12
NAU,GC-Net,2,ice sheet,2021-08-17,73.840557,-49.531513,2339.06,2025-06-11,73.84051,-49.536793,2335.28
NEM,GC-Net,2,ice sheet,2021-08-13,77.441379,-51.083412,2453.39,2025-06-11,77.441447,-51.084412,2455.66
NSE,GC-Net,2,ice sheet,2021-06-19,66.47778,-42.493657,2385.06,2025-06-11,66.477402,-42.492541,2385.2
NUK_B,PROMICE,1,tundra,2023-10-03,64.461425,-50.152705,110.15,2025-06-11,64.461471,-50.152829,107.88
NUK_K,GlacioBasis,1,local glacier,2014-07-28,64.162256,-51.358672,713.08,2025-06-11,64.162297,-51.358657,700.46
NUK_L,PROMICE,1,ice sheet,2007-08-20,64.481722,-49.521597,585.05,2025-06-11,64.484564,-49.557258,478.93
NUK_Lv3,PROMICE,1,ice sheet,2025-06-07,64.483256,-49.52328,566.21,2025-06-11,64.483252,-49.523326,567.31
NUK_N,PROMICE,1,ice sheet,2010-07-25,64.945811,-49.883669,927.92,2014-07-25,64.945235,-49.884955,919.01
NUK_P,PREMAS-PROMICE,1,tundra,2024-11-06,64.157481,-51.943805,-7.57,2025-06-11,64.282087,-51.017878,214.59
NUK_U,PROMICE,1,ice sheet,2007-08-20,64.498747,-49.258602,1148.08,2023-08-05,64.509005,-49.284248,1113.04
NUK_Uv3,PROMICE,1,ice sheet,2020-08-31,64.509928,-49.278099,1119.46,2025-06-11,64.508591,-49.289059,1113.45
ORO,PROMICE,1,not Greenland,2024-11-15,56.127573,10.19297,49.66,2025-06-11,56.127573,10.192953,51.6
QAS_A,PROMICE,1,ice sheet,2012-08-20,61.245371,-46.733793,1019.34,2015-08-24,61.243078,-46.732765,1003.79
QAS_L,PROMICE,1,ice sheet,2007-08-24,61.024203,-46.872458,280.79,2024-09-01,61.030274,-46.850315,233.94
QAS_Lv3,PROMICE,1,ice sheet,2022-08-29,61.030705,-46.849382,247.31,2025-06-11,61.030596,-46.849615,231.68
QAS_M,PROMICE,1,ice sheet,2016-08-11,61.099871,-46.833062,625.72,2023-09-02,61.109709,-46.808736,671.65
QAS_Mv3,PROMICE,1,ice sheet,2023-08-31,61.109958,-46.808336,680.52,2025-06-11,61.109529,-46.808463,671.72
QAS_U,PROMICE,1,ice sheet,2008-08-07,61.178935,-46.816204,908.53,2023-08-31,61.172328,-46.822488,883.33
QAS_Uv3,PROMICE,1,ice sheet,2020-08-29,61.173567,-46.820781,888.78,2025-06-11,61.171564,-46.823225,881.75
RED_Lv3,LATTICE,1,ice sheet,2024-08-11,76.925667,-66.964923,769.63,2025-06-11,76.92563,-66.96475,769.03
SCO_L,PROMICE,1,ice sheet,2008-07-22,72.229163,-26.816532,473.81,2024-08-12,72.216982,-26.818631,450.08
SCO_Lv3,PROMICE,1,ice sheet,2024-08-13,72.216434,-26.816413,439.28,2025-06-11,72.215889,-26.816306,437.87
SCO_U,PROMICE,1,ice sheet,2008-07-21,72.394385,-27.264289,993.87,2024-08-13,72.392953,-27.210727,949.67
SCO_Uv3,PROMICE,1,ice sheet,2024-08-14,72.391821,-27.21021,972.11,2025-06-11,72.391597,-27.207454,973.05
SDL,GC-Net,2,ice sheet,2021-06-14,66.000124,-44.502621,2453.03,2025-06-11,66.000223,-44.50284,2474.71
SDM,GC-Net,2,ice sheet,2021-06-21,63.148982,-44.817362,2892.27,2025-06-11,63.148919,-44.817394,2896.74
SER_B,Mittivakkat,1,bedrock,2024-07-14,65.679719,-37.917359,29.23,2025-06-11,65.679719,-37.917363,27.5
SWC,GC-Net,1,ice sheet,2020-08-05,69.554206,-49.369306,1121.4,2023-02-14,69.552446,-49.375923,1120.62
SWC_O,GC-Net,1,ice sheet,2022-08-02,69.595404,-49.279098,1166.39,2025-06-11,69.59351,-49.286007,1155.45
TAS_A,PROMICE,1,ice sheet,2013-08-28,65.780905,-38.903296,896.73,2024-09-09,65.773805,-38.889631,879.16
TAS_Av3,PROMICE,1,ice sheet,2024-09-12,65.773755,-38.889641,876.96,2025-06-11,65.773314,-38.888746,876.63
TAS_L,PROMICE,1,ice sheet,2007-08-23,65.641698,-38.898061,273.94,2025-06-11,65.638981,-38.899284,227.99
TAS_U,PROMICE,1,ice sheet,2008-03-11,65.70129,-38.865911,575.4,2015-08-13,65.697866,-38.866812,567.92
THU_L,PROMICE,1,ice sheet,2010-08-09,76.39984,-68.265312,577.15,2025-06-07,76.399861,-68.26775,561.86
THU_L2,PROMICE,1,ice sheet,2022-05-16,76.393023,-68.265013,573.58,2025-06-10,76.393038,-68.265358,572.75
THU_U,PROMICE,1,ice sheet,2010-08-09,76.419623,-68.144869,764.61,2021-09-17,76.419697,-68.147418,759.04
THU_U2,PROMICE,1,ice sheet,2018-05-22,76.390387,-68.109637,743.76,2023-08-18,76.390208,-68.110515,745.83
THU_U2v3,PROMICE,1,ice sheet,2024-05-18,76.390132,-68.110688,747.52,2025-06-11,76.390101,-68.110875,746.76
TUN,GC-Net,2,ice sheet,2022-05-27,78.01909,-33.962976,2079.19,2025-06-11,78.019465,-33.959879,2079.0
UPE_L,PROMICE,1,ice sheet,2009-08-17,72.893219,-54.295084,229.31,2025-06-11,72.893373,-54.295922,198.89
UPE_U,PROMICE,1,ice sheet,2009-08-18,72.891274,-53.535554,977.88,2025-06-11,72.884708,-53.626294,909.96
UWN,UWN,1,not Greenland,2020-04-18,61.683695,7.20937,604.55,2025-06-11,61.687286,7.192145,543.86
WEG_B,Wegener,1,tundra,2022-06-29,71.141462,-51.222045,13.97,2025-06-11,71.141458,-51.222053,16.65
WEG_L,Wegener,1,ice sheet,2022-08-14,71.205196,-51.095579,936.6,2025-06-11,71.204717,-51.102127,932.3
ZAC_A,GlacioBasis,2,local glacier,2023-04-22,74.647543,-21.652029,1483.21,2025-06-11,74.647504,-21.652035,1482.15
ZAC_Lv3,GlacioBasis,1,local glacier,2022-04-20,74.624177,-21.374466,632.34,2025-06-11,74.624058,-21.374241,626.26
ZAC_Uv3,GlacioBasis,1,local glacier,2022-04-21,74.643398,-21.462629,868.32,2025-06-11,74.643231,-21.460597,860.22
